Flag:,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Debit:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction amount:,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction date:,160323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code:,24df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service code,Source Branch,Date DDMMYY,Reff no,Amount,Remark Line 3,Remark Line 4,REMARK TRX,BIC BANK PENERIMA,NAMA PENGIRIM,REKENING PENGIRIM,CHARGE 1,CHARGE 2,Jenis nasabah penerima,Status penduduk penerima,Account Credit,Account Debit,NAMA PENERIMA OVB,REKENING PENERIMA SKN,NAMA PENERIMA SKN,REKENING PENERIMA  RTG,NAMA PENERIMA  RTG,AlAMAT PENERIMA,AlAMAT KOTA PENERIMA,KODE CABANG BANK PENERIMA,NAMA PENERIMA EWALLET,Reff User,,,,,,,,,,,
OVB,001,160323,,150000000,LOAN ON CARD M-SMILE,amitest8999,,,,,,,,,111111111111,SKROW?,NaufalTest,,,,,,,,,amitest8999,,,,,,,,,,,
