Flag:,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Debit:,1021000300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction amount:,21500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction date:,270423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code:,40fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service code,Source Branch,Date DDMMYY,Reff no,Amount,Remark Line 3,Remark Line 4,REMARK TRX,BIC BANK PENERIMA,NAMA PENGIRIM,REKENING PENGIRIM,CHARGE 1,CHARGE 2,Jenis nasabah penerima,Status penduduk penerima,Account Credit,Account Debit,NAMA PENERIMA OVB,REKENING PENERIMA SKN,NAMA PENERIMA SKN,REKENING PENERIMA  RTG,NAMA PENERIMA  RTG,AlAMAT PENERIMA,AlAMAT KOTA PENERIMA,KODE CABANG BANK PENERIMA,NAMA PENERIMA EWALLET,Reff User,Company Identifier,Additional1,Additional2,Additional3,Currency Debit,Currency Credit,Rate Debit,Rate Credit,Amount Credit
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,adcafsd1558969,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,adcafsd1558969,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,adcafsd15589690,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,adcafsd15589690,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,adcasd6589691,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,adcasd6589691,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,adcads6586691,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,adcads6586691,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpz65866312,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpz65866312,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631283,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631283,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631284,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631284,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631286,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631286,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpm6506631286,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpm6506631286,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpm650663126,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpm650663126,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpk6506631280,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpk6506631280,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpm6506631276,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpm6506631276,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpm6506831276,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpm6506831276,,,,,,,,,
OVB,001,270423,,1000000,LOAN ON CARD M-SMILE,lpm650683276,,,,,,,,,111111141111,1021000300006,NaufalTest,,,,,,,,,lpm650683276,,,,,,,,,
OVB,001,270423,,2500000,LOAN ON CARD M-SMILE,amitest7985,,,,,,,,,111111111111,1021000300006,NaufalTest,,,,,,,,,amitest7985,,,,,,,,,
